0037442|0037442
0037442|121114
0060414|8999979030434
0060414|0060414
0076649|8993189272943
0076649|0076649
0010579|0010579
0010579|8992741995740
0009365|8992714033042
0009365|0009365
0018261|0018261
0018261|8992003121207
0018335|8992003120606
0081078|4902430601023
0081078|0081078
0075773|0075773
0075773|8992761147013
0019212|8991389247341
0019212|0019212
0040601|0040601
0039471|8999979016247
0039471|0039471
0040389|040389
0040389|0040389
0040389|010925
0050133|0050133
0073778|0073778
0073778|8999999031701
0073778|8999999039240
0045832|8998866607872
0045832|0045832
0063850|0063850
0008169|0008169
0008169|8998288200217
0019115|8990333131064
0019115|0019115
0068943|0068943
0068943|8999999023829
0047917|0047917
0036312|0036312
0036312|8886015427603
0082533|9415007039709
0082533|0082533
0010146|0010146
0010146|8886001100855
0072108|0072108
0072108|8996001524107
0063107|0063107
0063107|8999999042639
0063107|8999999092252
0053165|0053165
0053165|9415007026662
0000945|0000945
0000945|8992222050630
0076914|8936036022025
0069151|0069151
0045528|0045528
0074498|0074498
0077609|0077609
0020308|0020308
0020308|121698
0041978|0041978
0032138|0032138
0032138|8993417324222
0071905|0071905
0071905|8992771400023
0025572|9415007014416
0025572|0025572
0072675|0072675
0008623|0008623
0008623|8888166339903
0004355|8992772253017
0004355|0004355
0060760|8888166607170
0060760|0060760
0074498|8993110071119
0072136|8992928060902
0072136|0072136
0045352|8992775712054
0045352|0045352
0018335|0018335
0076914|0076914
0082362|0082362
0082362|8993200663507
0000745|0000745
0000745|8998866671729
0073814|0073814
0068812|0068812
0066411|899230402514
0066411|0066411
0066411|8992304025914
0026020|0026020
0026020|9415007014461
0020584|0020584
0020584|123716
0014112|8993172890123
0014112|0014112
0014112|065588
0077343|0077343
0077343|8996001321041
0079858|8993189273025
0079858|0079858
0049280|0049280
0049280|6933671130766
0049280|6932061800128
0074668|0074668
0053946|6905071820004
0053946|0053946
0071588|0071588
0071588|8993175535298
0031930|8993417402241
0031930|0031930
0014696|8993004785139
0014696|0014696
0040601|8994402101699
0020115|0020115
0020115|120705
0053857|0053857
0053857|8999979011303
0001756|0001756
0001756|8999999721169
0001756|8999999045869
0001756|8999999021979
0079857|8993189272998
0079857|0079857
0065859|0065859
0065859|8994402102207
0000972|0000972
0000972|8998866658577
0019631|0019631
0019631|6921696180026
0019631|108548
0046831|0046831
0046831|8993189270819
0078531|0078531
0078531|8992003784044
0012192|0012192
0012192|8991001780812
0071914|8992771400092
0071914|0071914
0079567|8993189321429
0079567|0079567
0034741|0034741
0010533|8991001780980
0071892|0071892
0071892|8999999027056
0074372|0074372
0074372|8991001503138
0029024|8998866600101
0029024|0029024
0063045|0063045
0063045|4902430284158
0013986|8992770084026
0013986|0013986
0065630|8992696422438
0065630|0065630
0000013|0000013
0000013|010033
0012799|089686420074
0012799|0012799
0000746|8998866670722
0000746|0000746
0080571|93698108
0080571|0080571
0056465|0056465
0045835|0045835
0010780|0010780
0066566|0066566
0066566|8991102385701
0083632|0083632
0083632|8997020580020
